ten_dn,ten_chi_nhanh,dia_chi,trang_thai,khu_vuc
I.CAN INTERNATIONAL,CÔNG TY TNHH I.CAN INTERNATIONAL,"Số 10 ngõ 102 Trần Phú,Hà Đông, Hà Nội",Dang hoat dong,Hà Nội
Nhà hàng Chay Tầm Vị,Nhà hàng Chay Tầm Vị,"50B Phố Châu Long, Phường Ba Đình, Hà Nội",Dang hoat dong,Hà Nội
GIVISTA,Dealtoday HCM,"Địa điểm tư vấn mua voucher: Tầng 8, Tòa nhà Phương Nam, Số 157 Võ Thị Sáu, Phường 6, Quận 3, TP. HCM",Dang hoat dong,Hồ Chí Minh
GIVISTA,GIVISTA,"251/16D Vườn Lài, P. An Phú Đông, TP.HCM",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box Crescent Mall,"5F-52 Tầng 5 Crescent Mall, Số 101 Tôn Dật Tiên, Phường Tân Phú, Quận 7, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box Thắng Lợi,"Coopmart TTTM Thắng Lợi, 2 Trường Chinh, Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box THISO SALA,"Tầng hầm B1, Khu cao ốc văn phòng - thương mại - dịch vụ tại lô 5.5, số 8-10 đường Mai Chí Thọ, Phường An Khánh, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box Đường D2,"36/3B Nguyễn Gia Trí, Phường 25, Quận Bình Thạnh, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box Giga Mall,"L5-22 Lầu 5 GigaMall, 242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Quận Thủ Đức, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box Saigon Centre,"Lầu B2 Saigon Centre, 65 Lê Lợi, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box E-MART PHAN VĂN TRỊ,"F2-09, Tầng 2 TTTM E-mart Gò Vấp, 366 Phan Văn Trị, Phường An Nhơn, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
