ma_chi_nhanh,ten_chi_nhanh,dia_chi,trang_thai,ma_hs,khu_vuc
0066b55c-482b-4bad-a7e1-0aae8a8a9fe1,Dookki Việt Nam - Chi nhánh 61,"Tầng 4, Vincom Plaza Bắc Giang Số 41, Đường Ngô Gia Tự, Thành phố Bắc Giang, Bắc Giang",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,
00eee31f-63d8-40c8-81af-32801a5179c9,City Sightseeing - Chi nhánh 4,"Quầy bán vé màu đỏ logo City Sightseeing bên trong Trạm Thông Tin và Hỗ Trợ Khách Du Lịch (Công viên 23/9, góc đường Đề Thám - Phạm Ngũ Lão)",Dang hoat dong,3d6780db-e3aa-4cca-9f2e-2aa7beb3f0f4,
01108255-bb3b-4c89-b296-b41c503ca9e7,Dookki Việt Nam - Chi nhánh 102,"L4-04, Tầng L4, TTTM Vincom Plaza Kon Tum, Số 2 Đường Phan Đình Phùng, Phường Quyết Thắng, Thành phố Kon Tum, Kon Tum",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,
01505b30-8de8-4884-ba49-a263b5edbb76,Hệ thống Thẩm mỹ viện Ngọc Dung - Chi nhánh 5,"95 Nguyễn Văn Linh, Phường Hải Châu,Thành phố Đà Nẵng,Việt Nam",Dang hoat dong,c4b32ba0-c514-4b61-8df1-f2afdf45b8db,
022705a4-53ee-4301-b8cc-21da0fe57594,Dookki Việt Nam - Chi nhánh 19,"114-116 Nguyễn Ảnh Thủ, Hiệp Thành, Quận 12, Hồ Chí Minh",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,
0324b2d0-de3f-4224-9c78-c5d65168694b,Dookki Việt Nam - Chi nhánh 42,"Tầng 2, Co.opmart Rạch Miễu 48 Hoa Sứ, Phường 7, Phú Nhuận, Hồ Chí Minh",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,
03427013-825f-483a-8dca-ed69f9c3754e,Dookki Việt Nam ROX GOLD SEASON HN,"Tầng 1 - L11, Tòa Nhà HHNO1, 47 Nguyễn Tuân, Phường Thanh Xuân, Hà Nội",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,Hà Nội
038d3a15-f663-4a0f-95b6-18d2d8b67f99,Sân bay Quốc tế Phú Quốc,"Cảng hàng không quốc tế Phú Quốc Đặc khu Tổ 2, Khu phố, Phú Quốc, An Giang",Dang hoat dong,195ea851-59dd-4e70-ad76-71d0ea76db64,An Giang
03b3453c-7444-40f0-a52e-fae8ad875fc5,Dookki Việt Nam - Chi nhánh 24,"Tầng L3, TTTM Vincom Center Landmark 81, Số 772 Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Hồ Chí Minh",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,
04038736-bc32-48e4-9790-c5d6f6e274f3,Dookki Việt Nam - Chi nhánh 62,"Lầu 2, Go ! Bắc Giang, Xã Tân Tiến, Thành Phố Bắc Giang, Bắc Giang",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,
045d13a6-9efb-4503-af11-cd114928ef64,Chicken Plus - Chi nhánh 16,"Phố Cao Sơn, KĐT Minh Phương, P. Minh Phương, Việt Trì, Phú Thọ",Dang hoat dong,1114dccd-810f-4887-a534-7c2316871312,
05a53e99-ac83-4511-9b91-cf286213d1de,Chicken Plus - Chi nhánh 49,"Số 720 DT824 Ấp Mới 2, Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",Dang hoat dong,1114dccd-810f-4887-a534-7c2316871312,
05cc85da-5f91-44f7-9544-bf1287ffc783,Dookki Việt Nam AEON HÀ ĐÔNG,"Tầng 2 AEON Hà Đông, Dương Nội, Hà Đông, Hà Nội",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,Hà Nội
06404017-98b1-49ac-af19-f897a9ed94b3,Dookki Việt Nam - Chi nhánh 94,"Tầng 2 Vinh Centre, số 69 Hồ Tùng Mậu, Trường Thi, Thành phố Vinh, Nghệ An",Dang hoat dong,180c5646-2a62-489d-8685-a93a8c7201e6,
06670f03-5e3a-44f0-bfba-65d9dd6dc25e,Lotteria - Chi nhánh 58,"1A Nguyễn Tất Thành, P. Bình Hưng, Phan Thiết, Bình Thuận",Dang hoat dong,5c729ab1-749a-46f4-ac2b-b56ab6d53565,
06cc5f6b-a65f-49fe-90af-a67f977d65b5,Lotteria HN Nguyễn Văn Cừ,"210-212 Nguyễn Văn Cừ, P. Ngọc Lâm, Quận Long Biên, Hà Nội",Dang hoat dong,5c729ab1-749a-46f4-ac2b-b56ab6d53565,Hà Nội
06ec0fa1-cb98-44ca-b894-18bd638e4c8b,Lotteria - Chi nhánh 65,"TTTM Chợ Thanh Hà, Trần Phú, P. Phủ Hòa, Phan Rang - Tháp Chàm, Ninh Thuận",Dang hoat dong,5c729ab1-749a-46f4-ac2b-b56ab6d53565,
0753c109-7640-4801-b447-b76c767c4f0c,Life4cuts - Chi nhánh 6,"C003 The Manor, Đường Mễ Trì, P. Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Dang hoat dong,ec461027-a973-418e-90bf-6dc7e814f027,
078be792-4a31-4fd4-81d7-d9369046cc04,Spicy Box - Chi nhánh 21,"L1-12 Sense City Cà Mau, 9 Trần Hưng Đạo, Phường 5, Cà Mau",Dang hoat dong,bb105ef3-f758-42a1-9186-8c84e2848654,
