ma_hs,ten_dn,ma_so_thue,dia_chi,giay_phep_kinh_doanh,ngay_tao,trang_thai,logo
017c6501-d818-4a3a-8f74-e9aba4552abf,kidzooona AEON MALL Hải Phòng 2F,0388848576,"Lô T264, tầng 2, Aeon Mall Hải Phòng Lê Chân, Đ. Hồ Sen Cầu Rào 2, phường An Biên, thành phố Hải Phòng.",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:27:27+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD-Kidzooona-3_07072026090605.jpg?sign=T1impM_63xbzuvOFOJDPmQ
02ae4d77-f3d1-49eb-8e47-3c162db99f22,The Hanoi Train,0375819945,"Cửa 1C, sảnh Bắc - Ga Hà Nội - 120 Lê Duẩn - Văn Miếu - Hà Nội",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:27:27+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD-5-cua-o-1_17072026120043.jpg?sign=H3u_SI-kRDW-4rXNwfCzwg
06235d7c-859a-4f48-aa73-af143c47e39d,Ngự thuyền Hueritage,0345912547,"Nghinh Lương Đình, Đường Lê Duẩn, Phường Phú Xuân, Thành phố Huế",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:21:40+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/Ngu-thuyen-Hueritage-Nhat-Yen_18052026163055.jpg?sign=jnXat_gTJM7Nk6AF7arXzw
09648f1b-81a9-42ff-9795-d0928a52d8d2,kidzooona AEON MALL Long Biên,0369558905,"Lô T334-1, tầng 3, Aeon Mall Long Biên, Số 27 đường Cổ Linh, Phường Long Biên, Thành phố Hà Nội, Việt Nam",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:27:27+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD-Kidzooona-7_06072026163043.jpg?sign=Rx5hKRvQQyz0jnQDCylKwA
0bb45dbd-d123-48e3-b019-bebbe4939c5d,Show Thực Cảnh Anh Hùng Cờ Lau,0310928727,"Thủy Đình, Phố Cổ Hoa Lư, Ninh Bình",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-24 16:04:29+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD-Anh-hung-co-lau-01_09072026113202.jpg?sign=4KDlzuWYSeA2LeMGvoKmJA
0d4a8039-c78a-4982-bbbb-0ec73a2ac9bf,kidzooona PARC MALL Quận 8,0383933139,"L3-01, Tầng 3, Trung tâm thương mại PARC MALL Q.8, số 547-549 đường Tạ Quang Bửu, Phường Chánh Hưng, TP.HCM",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:27:27+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD-Kizooona-6_06072026150831.jpg?sign=ao45DOy-mfl3KWvnCFMjZA
0d804bcb-be7f-4d9b-a8a9-8c5e951da97a,Khu Du Lịch Sinh Thái Sơn Tiên,0317735216,"Du Lịch Sinh Thái Sơn Tiên - Quốc Lộ 51, Khu Phố 4, Phường An Hoà, Biên Hoà, Đồng Nai",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:27:27+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD-Son-Tien-Amazing-World-1_09062026144856.jpg?sign=KXMpwFKKFJp_Tr1JHAE3sw
0f285aa1-2503-410e-b1c9-15b8ab7235e4,Novotel Saigon Centre,0330026546,"Nhà hàng Food Exchange - Tầng 2, Novotel Saigon Centre 4* -  Số 167 Hai Bà Trưng, Phường Xuân Hoà, TP.HCM.",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:21:40+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD--Buffet-hai-san-Novotel-Saigon-Centre-3_07072026103522.jpg?sign=cZE4X7kaNbCnnZ9i7rd63A
0f44c4e9-2b55-4a43-88c8-e51bc848ab1a,kidzooona Hanoi Centre,0331987936,"L2-C10, Tầng 2, Tiến Bộ Plaza, 175 đường Nguyễn Thái Học, Phường Ô Chợ Dừa, TP. Hà Nội",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-24 16:04:29+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/ADD-Kidzooona-6_07072026085006.jpg?sign=uqAO43sJUYhZ-85GUfLmrQ
1114dccd-810f-4887-a534-7c2316871312,Chicken Plus,0366819376,"179 Lê Duẩn, Phường Cam Ranh, Khánh Hòa",https://ketoananpha.vn/uploads/images/post/36-moi/Phan-biet-giay-phep-kinh-doanh-va-giay-chung-nhan-dang-ky-doanh-nghiep-03.jpg,2026-08-26 16:21:40+00,Dang hoat dong,//cdn.lifelink.vn/img/c280x280/Voucher-Ga-khong-xuong-sot-ngu-vi-lon_28072026133620.jpg?sign=p4KM3CXyI-7MwUgnqlM7NQ
