ma_voucher,ma_chi_nhanh
03069af5-b8d8-4ea7-9020-d879853afff8,5250a3e4-7bc7-46f0-bad9-690bc67ba654
03069af5-b8d8-4ea7-9020-d879853afff8,8a5ba525-f70d-448e-b43e-cd2d06c19cc1
03069af5-b8d8-4ea7-9020-d879853afff8,ea457754-0a9a-4170-82a4-10c904e104c1
0935789a-1a42-4ebd-b16d-e86266b214dc,6254b323-5a50-4b9d-97b8-c4d50371d70d
0935789a-1a42-4ebd-b16d-e86266b214dc,8a5ba525-f70d-448e-b43e-cd2d06c19cc1
095bb2c0-497a-48ff-9161-bc2e8598c43a,5c734a85-77ca-4b26-aa6f-0c763f527ad5
0e0bb123-63f4-4bcc-8f8e-d4708fc3efd6,ea438d89-21bf-4c6c-a3da-6edcd640a25a
101acc9a-1e67-4060-a17c-e75f104438ae,4ac4c2af-97b4-4e1a-8906-799dd168729c
11b33872-343b-418a-abc0-a05a1fdaa9ad,2daf1ab0-ccc9-4c8e-9074-46482bfed73d
145c7bd7-740d-4ced-9971-b73b22f341e1,c043a95b-f062-4ab3-8aea-f920d77b5586
14ee3519-8d8a-4920-b69e-e80654f6f16e,4385a7ab-71bd-4e38-be6f-020bd45e9e83
1549fecd-90b6-40e3-9ef3-234ae1149959,b47cd926-b9d9-4747-91b7-18cc12d198e6
1905e542-d55d-449f-bde5-e76c158c9d01,038d3a15-f663-4a0f-95b6-18d2d8b67f99
1905e542-d55d-449f-bde5-e76c158c9d01,64afa405-be95-4b21-903c-cb0151b03ba0
1905e542-d55d-449f-bde5-e76c158c9d01,80c192ff-1806-4473-b7e9-b6f8baaf678b
19e389a2-a61b-4400-a352-f521d7812f78,4385a7ab-71bd-4e38-be6f-020bd45e9e83
1c15a1da-6aca-4165-a893-c3b2ee2b4439,2daf1ab0-ccc9-4c8e-9074-46482bfed73d
1ce33133-d1e2-48d1-97e4-8c7c847faa61,038d3a15-f663-4a0f-95b6-18d2d8b67f99
1ce33133-d1e2-48d1-97e4-8c7c847faa61,139f3108-4a76-4985-b6a8-9a9ec138a789
1ce33133-d1e2-48d1-97e4-8c7c847faa61,d295daa0-c3e6-4398-9c45-9f53792f5e18
1ce33133-d1e2-48d1-97e4-8c7c847faa61,f79636f0-5446-4045-9584-2b995f6fb5ae
2af5fa36-e992-4aa5-b774-c4c94150b6ad,5c734a85-77ca-4b26-aa6f-0c763f527ad5
2c24153a-8bcc-47c9-8f48-5f6e072e9165,4385a7ab-71bd-4e38-be6f-020bd45e9e83
