ten_voucher,ten_dn,dia_chi_chi_nhanh,reason
Thẻ quà tặng Beard Papas,Beard Papas HCM,"161 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"88 Song Hành, P. An Phú, Quận 2, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"121 Nguyễn Đức Cảnh, P. Tân Phong, Quận 7, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"L4-K5, Tầng 4, Vincom Plaza Phan Văn Trị, 12 Phan Văn Trị, Quận Gò Vấp, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"65 Lê Lợi, P. Bến Nghé, Quận 1, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"B3-21, Vincom Đồng Khởi, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"1F-10-01, Tầng 1, Hùng Vương Plaza, 126 Hồng Bàng, Quận 5, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"60A Trường Sơn, P. 2, Quận Tân Bình, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Beard Papas,Beard Papas HCM,"Tầng FM-19B, Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Quận 10, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Bắc Kim Thang,Bắc Kim Thang,"5F-53 Tầng 5, Trung Tâm Thương Mại Crescent Mall, Số 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Bắc Kim Thang,Bắc Kim Thang,"L3-02 Tầng 3, Trung Tâm Thương Mại Estella Place, 88 Song Hành, Xa Lộ Hà Nội, Thủ Đức, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Bắc Kim Thang,Bắc Kim Thang,"L1-18 Tầng 1, Thiso Mall Sala, Số 10 Mai Chí Thọ, Phường An Khánh, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
Thẻ quà tặng Bắc Kim Thang,Bắc Kim Thang,"L2-14-15 Tầng 2, Trung Tâm Thương Mại Marina Center Tower, 02 Tôn Đức Thắng, P. Bến Nghé, Quận 1, Hồ Chí Minh",missing ma_voucher or ma_chi_nhanh
