ten_dn,ten_chi_nhanh,dia_chi,trang_thai,khu_vuc
Beard Papas HCM,Beard Papas HCM - Chi nhánh 1,"161 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 2,"88 Song Hành, P. An Phú, Quận 2, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 3,"121 Nguyễn Đức Cảnh, P. Tân Phong, Quận 7, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 4,"L4-K5, Tầng 4, Vincom Plaza Phan Văn Trị, 12 Phan Văn Trị, Quận Gò Vấp, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 5,"65 Lê Lợi, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 6,"B3-21, Vincom Đồng Khởi, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 7,"1F-10-01, Tầng 1, Hùng Vương Plaza, 126 Hồng Bàng, Quận 5, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 8,"60A Trường Sơn, P. 2, Quận Tân Bình, Hồ Chí Minh",Dang hoat dong,
Beard Papas HCM,Beard Papas HCM - Chi nhánh 9,"Tầng FM-19B, Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Quận 10, Hồ Chí Minh",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 1,"5F-53 Tầng 5, Trung Tâm Thương Mại Crescent Mall, Số 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, Hồ Chí Minh",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 2,"L3-02 Tầng 3, Trung Tâm Thương Mại Estella Place, 88 Song Hành, Xa Lộ Hà Nội, Thủ Đức, Hồ Chí Minh",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 3,"L1-18 Tầng 1, Thiso Mall Sala, Số 10 Mai Chí Thọ, Phường An Khánh, Hồ Chí Minh",Dang hoat dong,
Bắc Kim Thang,Bắc Kim Thang - Chi nhánh 4,"L2-14-15 Tầng 2, Trung Tâm Thương Mại Marina Center Tower, 02 Tôn Đức Thắng, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,
