ten_voucher,mo_ta,gia_goc,gia_tri_giam,dieu_kien_ap_dung,so_luong_phat_hanh,tg_bat_dau_ban,tg_ket_thuc_ban,trang_thai,chinh_sach_hoan_huy,hinh_anh_url,so_luong_da_ban,ma_danh_muc
E-voucher - Hộp bánh trung thu Trăng Trường Thọ,"E-voucher - Hộp bánh trung thu Trăng Trường Thọ sở hữu 4 hương vị bánh đa dạng, từ thanh tao đến đậm đà, phù hợp nhiều khẩu vị.
Bánh nướng sen Đông Trùng Hạ Thảo tạo điểm nhấn đặc biệt với sự kết hợp giữa vị sen và Đông Trùng Hạ Thảo.
Bánh nướng sen yến kỳ tử mè đen mang đến hương vị hài hòa, lạ miệng và tinh tế.
Bánh nướng matira cafe đem lại sắc vị hiện đại, phù hợp với người yêu thích hương cà phê.
Bánh dẻo thập cẩm cao cấp gợi nét truyền thống quen thuộc của mùa đoàn viên.
Hộp quà còn kết hợp Đông Trùng Hạ Thảo Sinh Khối Khô 5g và nước uống Đông Trùng Hạ Thảo BIOK hộp 10 gói, tạo nên món quà đa dạng và ý nghĩa.",1760400,1584000,"Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9h00 -17h00
Thông tin liên hệ đặt dịch vụ
Hotline lifelink (9h00-20h00): 1900 2065
Hotline BioFun: 0355983628
Địa chỉ lấy bánh Số 10 ngõ 102 Trần Phú,Mỗ Lao, Hà Đông, Hà Nội
Điều kiện áp dụng:
Áp dụng 01 E-Voucher cho 01 hộp
Một khách hàng được mua nhiều E-Voucher
E-Voucher không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Giá đã bao gồm VAT, chưa bao gồm phí ship",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Trung-Thu-Trang-Truong-Tho_21082026114325.jpg?sign=dWd4PufgVftfcD5bQJQvdA,0,40000000-0000-0000-0000-000000000001
E-voucher - Hộp bánh trung thu Giao Hảo Hữu,"E-voucher - Hộp bánh trung thu Giao Hảo Hữu quy tụ nhiều hương vị bánh đặc sắc, đáp ứng đa dạng sở thích thưởng thức.
Hộp bánh kết hợp bánh nướng và bánh dẻo, tạo nên trải nghiệm Trung thu phong phú.
Các lựa chọn gồm bánh nướng thập cẩm đặc biệt trứng, sen trà ô long trứng và mơ tây.
Bánh dẻo cốm dừa mang đến hương vị nhẹ nhàng, gợi nét truyền thống của mùa đoàn viên.
Sản phẩm đi kèm chai Rượu Đông Trùng Hạ Thảo 700ml Standard, góp phần nâng tầm giá trị hộp quà.
Bao bì hộp và khay định hình được thiết kế đồng bộ, giúp món quà thêm trang trọng và chuyên nghiệp.",1522800,1370000,"Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9h00 -17h00
Thông tin liên hệ đặt dịch vụ
Hotline lifelink (9h00-20h00): 1900 2065
Hotline BioFun: 0355983628
Địa chỉ lấy bánh Số 10 ngõ 102 Trần Phú,Mỗ Lao, Hà Đông, Hà Nội
Điều kiện áp dụng:
Áp dụng 01 E-Voucher cho 01 hộp
Một khách hàng được mua nhiều E-Voucher
E-Voucher không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Giá đã bao gồm VAT, chưa bao gồm phí ship",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Giao-Hao-Huu_21082026113751.jpg?sign=wy0fkH9NJ7EGVP29dUXfyQ,0,40000000-0000-0000-0000-000000000001
E-voucher - Hộp bánh trung thu Trăng Tinh Hoa,"Thương hiệu BioFun, mang đến lựa chọn quà Trung Thu trang trọng và ý nghĩa.
Bánh nướng sen Đông Trùng Hạ Thảo tạo điểm nhấn độc đáo cho hộp quà.
Bánh nướng thập cẩm đặc biệt trứng mang hương vị truyền thống đậm đà.
Kèm hộp nước uống Đông Trùng Hạ Thảo BIOK tiện lợi.
Bao bì hộp và khay định hình được thiết kế đồng bộ, chỉn chu.
Sự kết hợp đa dạng giúp hộp quà phù hợp với nhiều đối tượng nhận.
Là lựa chọn lý tưởng cho quà biếu gia đình, khách hàng, đối tác và nhân viên.",793800,714000,"Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9h00 -17h00
Thông tin liên hệ đặt dịch vụ
Hotline lifelink (9h00-20h00): 1900 2065
Hotline BioFun: 0355983628
Địa chỉ lấy bánh Số 10 ngõ 102 Trần Phú,Mỗ Lao, Hà Đông, Hà Nội
Điều kiện áp dụng:
Áp dụng 01 E-Voucher cho 01 hộp
Một khách hàng được mua nhiều E-Voucher
E-Voucher không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Giá đã bao gồm VAT, chưa bao gồm phí ship",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Trang-Tinh-Hoa_21082026110447.jpg?sign=Xx2_sP8ngdoz34hETooSYg,0,40000000-0000-0000-0000-000000000001
E-voucher - Hộp bánh trung thu Trăng Cát Tường,"Thương hiệu BioFun, phù hợp với nhu cầu quà tặng Trung Thu chỉn chu.
Gồm bánh dẻo thập cẩm cao cấp với hương vị đậm đà, hấp dẫn.
Bánh dẻo cốm dừa mang vị thơm dịu, mềm mịn và đặc trưng.
Kèm 1 hộp Đông Trùng Hạ Thảo Sinh Khối Tươi Ngâm Mật Ong BioFun.
Bao bì hộp và khay định hình được thiết kế đồng bộ, sang trọng.
Sự kết hợp giữa bánh và sản phẩm BioFun tạo nên hộp quà đa dạng, giàu ý nghĩa.
Phù hợp làm quà biếu gia đình, quà tặng khách hàng, đối tác và doanh nghiệp.",669600,603000,"Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9h00 -17h00
Thông tin liên hệ đặt dịch vụ
Hotline lifelink (9h00-20h00): 1900 2065
Hotline BioFun: 0355983628
Địa chỉ lấy bánh Số 10 ngõ 102 Trần Phú,Mỗ Lao, Hà Đông, Hà Nội
Điều kiện áp dụng:
Áp dụng 01 E-Voucher cho 01 hộp
Một khách hàng được mua nhiều E-Voucher
E-Voucher không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Giá đã bao gồm VAT, chưa bao gồm phí ship",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/Set-Trang-Cat-Tuong_21082026104056.jpg?sign=Y5F3llhje1bRmLcBqFEIRg,0,40000000-0000-0000-0000-000000000001
E-voucher - Hộp bánh trung thu Trăng Bình An,"Thương hiệu BioFun, mang đến lựa chọn quà Trung Thu chỉn chu và ý nghĩa.
Gồm bánh nướng thập cẩm đặc biệt trứng với hương vị đậm đà, quen thuộc.
Bánh nướng sen trà ô long trứng tạo điểm nhấn thanh tao, hài hòa.
Kèm hộp trà Đông trùng hạ Thảo BioFun gồm 20 gói tiện lợi.
Bao bì hộp và khay định hình được thiết kế đồng bộ, đẹp mắt.
Có thể in logo thương hiệu chuyên biệt, phù hợp làm quà tặng doanh nghiệp.
Là món quà phù hợp để trao gửi lời chúc bình an trong mùa đoàn viên.",810000,729000,"Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9h00 -17h00
Thông tin liên hệ đặt dịch vụ
Hotline lifelink (9h00-20h00): 1900 2065
Hotline BioFun: 0355983628
Địa chỉ lấy bánh Số 10 ngõ 102 Trần Phú,Mỗ Lao, Hà Đông, Hà Nội
Điều kiện áp dụng:
Áp dụng 01 E-Voucher cho 01 hộp
Một khách hàng được mua nhiều E-Voucher
E-Voucher không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Giá đã bao gồm VAT, chưa bao gồm phí ship",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Trang-Binh-An_21082026103954.jpg?sign=tPZbZy5LIFs6OXjbrWkciQ,0,40000000-0000-0000-0000-000000000001
Buffet chay tươi ngon áp dụng tại Nhà hàng Chay Tầm Vị,"Hơn 50 món chay thay đổi mỗi ngày, mang đến thực đơn đa dạng và trải nghiệm mới mẻ trong mỗi lần ghé thăm.
Món ăn được chế biến từ nguyên liệu tươi ngon, thanh đạm nhưng vẫn đậm đà, hấp dẫn và dễ thưởng thức.
Kết hợp tinh hoa ẩm thực Á – Âu hiện đại, tạo nên những hương vị chay phong phú, phù hợp với nhiều khẩu vị.
Không gian nhà hàng sang trọng, yên tĩnh và ấm cúng, lý tưởng để tận hưởng một bữa ăn thư thái.
Buffet chay phù hợp cho gia đình, bạn bè, đồng nghiệp và những buổi gặp gỡ cần sự gần gũi, riêng tư.
Không chỉ mang đến những món ăn ngon, Chay Tầm Vị còn hướng đến trải nghiệm bình yên, nhẹ nhàng và chữa lành tâm hồn.
Một lựa chọn lý tưởng để thưởng thức ẩm thực thanh lành, kết nối với người thân và tận hưởng những phút giây an nhiên.",119000,109000,"Khách hàng áp dụng: Tất cả khách hàng
Ngày áp dụng: Thứ 2- chủ nhật, không áp dụng ngày rằm và mùng 1 âm lịch
Giờ áp dụng:
Trưa: 11:00 – 14:00
Tối: 18:00 – 21:00
Số lượng E-Voucher áp dụng: 1 voucher/ 1 khách
Thông tin liên hệ đặt dịch vụ:
Hotline lifelink (9h00-20h00): 1900 2065
Hotline nhà hàng: 0986 896 030
Địa chỉ: 50B Châu Long - Ba Đình - Hà Nội
Điều kiện khác
Áp dụng 01 E-Voucher cho 01 khách
Một khách hàng được mua nhiều E-Voucher
E-Voucher không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Chay-Tam-Vi_12082026142301.jpg?sign=5x9dQFK6ItK4PE_RVVSr9g,0,40000000-0000-0000-0000-000000000001
Evoucher Hộp quà trung thu Thanh Liên Thưởng Lãm II 2026 phiên bản hộp xếp 2 cánh cửa cao cấp - Combo 6 bánh,"Evoucher Hộp quà trung thu Thanh Liên Thưởng Lãm II 2026 phiên bản hộp xếp 2 cánh cửa cao cấp - Combo 6 bánh sở hữu thiết kế hộp cánh mở hiện đại, sang trọng.
Hộp quà được ép kim vàng 9999 tinh xảo, kích thước 36 x 28 x 8 cm, tạo ấn tượng cao cấp khi trao tặng.
Khách hàng được lựa chọn 1 trong 2 combo GVS, mỗi combo gồm 6 bánh với sự kết hợp giữa hương vị truyền thống và hiện đại.
Thiết kế lấy cảm hứng từ đầm sen, núi non, dòng nước và khung cảnh thưởng trà, gửi gắm thông điệp về sự an yên, hòa hợp và viên mãn.
Hộp quà đi kèm túi giấy Ivory sang trọng, thiệp Trung Thu và bộ dao nĩa, hoàn thiện một set quà chỉn chu.
Sản phẩm đặc biệt phù hợp làm quà tặng doanh nghiệp, khách hàng, đối tác và người thân trong dịp Trung Thu 2026.
Đây là lựa chọn giúp người tặng thể hiện sự trân trọng, lời tri ân và mong muốn gắn kết những mối quan hệ bền lâu.",839000,710000,"Khách hàng áp dụng: Tất cả khách hàng
Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9:00 - 17:00
Số lượng E-Voucher áp dụng: Sử dụng 01 voucher/01 hộp quà. Không giới hạn số lượng voucher/ hóa đơn.
Thông tin cách mua hàng HƯỚNG DẪN ĐỔI VOUCHER
Bước 1. Khách hàng nhận voucher liên hệ GIVISTA để đổi hộp quà Trung Thu 2026
Hotline/Zalo: 0969117926
Facebook:
Tại đây
Bước 2. Cung cấp mã voucher để đổi hộp quà
Bước 3. Khách hàng thanh toán phí vận chuyển trực tiếp cho đơn vị vận chuyển
Lưu ý: Không hỗ trợ khách hàng đổi quà trực tiếp tại cửa hàng
Điều kiện khác
Một khách hàng được mua nhiều E-Voucher/E-Coupon
E-Voucher/E-Coupon không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Voucher chưa bao gồm phí vận chuyển Hộp quà tặng đến khách hàng.",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Thanh-Lien-Thuong-Lam-II-6banh_12082026095120.jpg?sign=qhKdPgegiTa-gnU57udeOw,0,40000000-0000-0000-0000-000000000001
Evoucher Hộp quà trung thu Lam Tước Vọng Nguyệt 2026 hộp 2 tầng cao cấp 2 cánh ép kim vàng - Combo 4 bánh và trà,"Hộp quà Trung Thu Lam Tước Vọng Nguyệt 2026 thiết kế 2 tầng cao cấp, 2 cánh ép kim vàng 9999, tạo ấn tượng sang trọng ngay từ ánh nhìn đầu tiên.
Khách hàng được lựa chọn 1 trong 2 combo bánh, đáp ứng đa dạng sở thích thưởng thức và nhu cầu biếu tặng.
Combo GVS 01 kết hợp các vị bánh truyền thống và hiện đại như thập cẩm, gà quay Jambon, lưu sa hoàng kim và lưu sa socola.
Combo GVS 02 mang đến những hương vị đặc sắc như tôm hùm sốt Hong Kong, bào ngư & sò điệp sốt XO, cốm dừa và đậu xanh hạt chia.
Hộp quà đi kèm trà lài thượng hạng, thiệp Trung Thu, túi giấy Ivory sang trọng và bộ dao nĩa tiện dụng.
Kích thước hộp 35 x 15 x 20 cm, phù hợp làm quà tặng doanh nghiệp, đối tác, khách hàng, gia đình và người thân.
Evoucher Hộp quà trung thu Lam Tước Vọng Nguyệt 2026 hộp 2 tầng cao cấp 2 cánh ép kim vàng - Combo 4 bánh và trà là lựa chọn lý tưởng để trao gửi lời chúc đoàn viên theo cách tinh tế và đẳng cấp.",1299000,1100000,"Khách hàng áp dụng: Tất cả khách hàng
Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9:00 - 17:00
Số lượng E-Voucher áp dụng: Sử dụng 01 voucher/01 hộp quà. Không giới hạn số lượng voucher/ hóa đơn.
Thông tin cách mua hàng HƯỚNG DẪN ĐỔI VOUCHER
Bước 1. Khách hàng nhận voucher liên hệ GIVISTA để đổi hộp quà Trung Thu 2026
Hotline/Zalo: 0969117926
Facebook:
Tại đây
Bước 2. Cung cấp mã voucher để đổi hộp quà
Bước 3. Khách hàng thanh toán phí vận chuyển trực tiếp cho đơn vị vận chuyển
Lưu ý: Không hỗ trợ khách hàng đổi quà trực tiếp tại cửa hàng
Điều kiện khác
Một khách hàng được mua nhiều E-Voucher/E-Coupon
E-Voucher/E-Coupon không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Voucher chưa bao gồm phí vận chuyển Hộp quà tặng đến khách hàng.",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Lam-Tuoc-Vong-Nguyet_12082026090237.jpg?sign=yBoGV1DmzeFn9WbaoC6jdA,0,40000000-0000-0000-0000-000000000001
Evoucher Hộp quà trung thu Cửu Hạc Chi Phúc 2026 phiên bản 2 tầng hiệu ứng 3D cao cấp - Combo 4 bánh và trà,"Thiết kế hộp 2 tầng hiệu ứng 3D độc đáo, tạo trải nghiệm mở quà ấn tượng.
Hộp ép kim vàng 9999, kích thước 28 x 18 x 16 cm, mang diện mạo cao cấp.
Hình tượng chín cánh hạc vàng vút bay quanh vầng trăng, giàu tính biểu tượng.
Khách hàng được lựa chọn 1 trong 2 combo gồm 4 bánh Trung Thu với nhiều hương vị.
Đi kèm trà lài thượng hạng, túi giấy Ivory, thiệp Trung Thu và bộ dao nĩa.
Hộp có giá trị lưu giữ lâu dài, có thể sử dụng như vật phẩm trang trí sau mùa lễ.
Phù hợp làm quà tri ân khách hàng, đối tác và nhân viên trong dịp Trung Thu 2026.",855000,720000,"Khách hàng áp dụng: Tất cả khách hàng
Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9:00 - 17:00
Số lượng E-Voucher áp dụng: Sử dụng 01 voucher/01 hộp quà. Không giới hạn số lượng voucher/ hóa đơn.
Thông tin cách mua hàng HƯỚNG DẪN ĐỔI VOUCHER
Bước 1. Khách hàng nhận voucher liên hệ GIVISTA để đổi hộp quà Trung Thu 2026
Hotline/Zalo: 0969117926
Facebook:
Tại đây
Bước 2. Cung cấp mã voucher để đổi hộp quà
Bước 3. Khách hàng thanh toán phí vận chuyển trực tiếp cho đơn vị vận chuyển
Lưu ý: Không hỗ trợ khách hàng đổi quà trực tiếp tại cửa hàng
Điều kiện khác
Một khách hàng được mua nhiều E-Voucher/E-Coupon
E-Voucher/E-Coupon không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Voucher chưa bao gồm phí vận chuyển Hộp quà tặng đến khách hàng.",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Cuu-Hac-Chi-Phuc-4banh_11082026171157.jpg?sign=FOfej3_ZdU2iEqbZ2a8Wfw,0,40000000-0000-0000-0000-000000000001
Evoucher Hộp quà Trung Thu Garden Of The Moon 2026 phiên bản hộp Vali Popup 3D cao cấp - Comb 6 bánh,"Combo gồm 6 bánh Trung Thu 150g với nhiều hương vị phong phú.
Hộp Vali Popup 3D cao cấp ép kim vàng 9999, kích thước 38 x 26 x 8,5 cm.
Thiết kế gam xanh đêm sang trọng, lấy cảm hứng từ khu vườn huyền ảo dưới ánh trăng.
Hiệu ứng Popup 3D tạo trải nghiệm mở quà độc đáo và giàu tính nghệ thuật.
Đi kèm túi giấy Ivory sang trọng, thiệp Trung Thu và bộ dao nĩa.
Họa tiết chú hươu, hoa lá, mây trời và ánh trăng mang thông điệp về bình an, cân bằng và thịnh vượng.
Phù hợp làm quà tri ân khách hàng, đối tác và nhân viên trong mùa Trung Thu 2026.",989000,840000,"Khách hàng áp dụng: Tất cả khách hàng
Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9:00 - 17:00
Số lượng E-Voucher áp dụng: Sử dụng 01 voucher/01 hộp quà. Không giới hạn số lượng voucher/ hóa đơn.
Thông tin cách mua hàng HƯỚNG DẪN ĐỔI VOUCHER
Bước 1. Khách hàng nhận voucher liên hệ GIVISTA để đổi hộp quà Trung Thu 2026
Hotline/Zalo: 0969117926
Facebook:
Tại đây
Bước 2. Cung cấp mã voucher để đổi hộp quà
Bước 3. Khách hàng thanh toán phí vận chuyển trực tiếp cho đơn vị vận chuyển
Lưu ý: Không hỗ trợ khách hàng đổi quà trực tiếp tại cửa hàng
Điều kiện khác
Một khách hàng được mua nhiều E-Voucher/E-Coupon
E-Voucher/E-Coupon không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Voucher chưa bao gồm phí vận chuyển Hộp quà tặng đến khách hàng.",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-Garden-Of-The-Moon-6banh_11082026163625.jpg?sign=zHr5FYv9YnJCEypqeFxhrg,0,40000000-0000-0000-0000-000000000001
Evoucher Hộp quà Trung Thu Garden Of The Moon 2026 phiên bản Vali Popup 3D cao cấp - Combo 4 bánh và trà,"Thiết kế Vali Popup 3D cao cấp, lấy cảm hứng từ khu vườn huyền ảo dưới ánh trăng.
Hộp ép kim vàng 9999, kích thước 38 x 26 x 8,5 cm, tạo diện mạo sang trọng và nổi bật.
Khách hàng được lựa chọn 1 trong 2 combo gồm 4 bánh Trung Thu với nhiều hương vị đa dạng.
Kèm 1 trà lài thượng hạng, giúp hoàn thiện trải nghiệm thưởng bánh và thưởng trà.
Có túi giấy Ivory, thiệp Trung Thu và bộ dao nĩa đi kèm.
Họa tiết chú hươu, hoa lá, mây trời và ánh trăng tạo nên dấu ấn nghệ thuật riêng biệt.
Phù hợp làm quà tri ân khách hàng, đối tác, nhân viên trong mùa Trung Thu 2026.",699000,590000,"Khách hàng áp dụng: Tất cả khách hàng
Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9:00 - 17:00
Số lượng E-Voucher áp dụng: Sử dụng 01 voucher/01 hộp quà. Không giới hạn số lượng voucher/ hóa đơn.
Thông tin cách mua hàng HƯỚNG DẪN ĐỔI VOUCHER
Bước 1. Khách hàng nhận voucher liên hệ GIVISTA để đổi hộp quà Trung Thu 2026
Hotline/Zalo: 0969117926
Facebook:
Tại đây
Bước 2. Cung cấp mã voucher để đổi hộp quà
Bước 3. Khách hàng thanh toán phí vận chuyển trực tiếp cho đơn vị vận chuyển
Lưu ý: Không hỗ trợ khách hàng đổi quà trực tiếp tại cửa hàng
Điều kiện khác
Một khách hàng được mua nhiều E-Voucher/E-Coupon
E-Voucher/E-Coupon không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Voucher chưa bao gồm phí vận chuyển Hộp quà tặng đến khách hàng.",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/Garden-of-the-Moon-4banh_11082026160402.jpg?sign=FKMYZSPp8h2DaQtnQPrahQ,0,40000000-0000-0000-0000-000000000001
Evoucher Hộp quà Trung Thu Đồng Lạc I 2026 phiên bản hộp Vai Popup 3D cao cấp - Combo 6 bánh,"Combo gồm 6 bánh Trung Thu 150g với nhiều hương vị đa dạng, phù hợp để thưởng thức và chia sẻ.
Hộp Vali Popup 3D cao cấp ép kim vàng 9999, kích thước 38 x 26 x 8,5 cm.
Thiết kế lấy cảm hứng từ không khí đêm hội Trung Thu, giàu màu sắc văn hóa và tinh thần đoàn viên.
Kèm túi giấy Ivory sang trọng, giúp món quà hoàn chỉnh và thuận tiện khi trao tặng.
Có thiệp Trung Thu để doanh nghiệp gửi lời chúc và thông điệp riêng đến người nhận.
Tặng kèm bộ dao nĩa, tăng tính tiện dụng khi thưởng thức bánh.
Phù hợp làm quà tri ân khách hàng, đối tác và nhân viên trong mùa Trung Thu 2026.",989000,840000,"Khách hàng áp dụng: Tất cả khách hàng
Ngày áp dụng: Thứ 2 - Thứ 6
Giờ áp dụng: 9:00 - 17:00
Số lượng E-Voucher áp dụng: Sử dụng 01 voucher/01 hộp quà. Không giới hạn số lượng voucher/ hóa đơn.
Thông tin cách mua hàng HƯỚNG DẪN ĐỔI VOUCHER
Bước 1. Khách hàng nhận voucher liên hệ GIVISTA để đổi hộp quà Trung Thu 2026
Hotline/Zalo: 0969117926
Facebook:
Tại đây
Bước 2. Cung cấp mã voucher để đổi hộp quà
Bước 3. Khách hàng thanh toán phí vận chuyển trực tiếp cho đơn vị vận chuyển
Lưu ý: Không hỗ trợ khách hàng đổi quà trực tiếp tại cửa hàng
Điều kiện khác
Một khách hàng được mua nhiều E-Voucher/E-Coupon
E-Voucher/E-Coupon không có giá trị quy đổi thành tiền mặt, không trả lại tiền thừa.
Không áp dụng đồng thời với chương trình khuyến mại khác
Voucher chưa bao gồm phí vận chuyển Hộp quà tặng đến khách hàng.",100,2026-08-23 00:00:00,2026-11-21 00:00:00,Dang ban,Không quy đổi thành tiền mặt. Hỗ trợ hoàn tiền nếu hủy trước 24h.,//cdn.lifelink.vn/img/c280x280/ADD-rung-Thu-Dong-Lac-I-6banh_11082026154111.jpg?sign=oIqknwNJxKZcv1CZ7fqpWQ,0,40000000-0000-0000-0000-000000000001
